SKU,ID,peso_lb,peso_dim_lb,peso_efetivo_lb,preco,lambda,fonte_dim,status,no_general_hoje
AMST-4188A.004.021,7715214098535,31.2,22.8,31.2,252.17,0.1237,LWH,ACTIVE,nao
AMST-4188A.004.222,7715214262375,31.2,22.8,31.2,252.17,0.1237,LWH,ACTIVE,nao
AMST-4188A.005.020,7715214327911,31.2,22.8,31.2,160.62,0.1942,LWH,ACTIVE,nao
AMST-4188A.054.020,7715214426215,31.2,22.8,31.2,218.87,0.1426,LWH,ACTIVE,sim
AMST-4188A.104.020,7715214491751,31.2,22.8,31.2,134.82,0.2314,LWH,ACTIVE,nao
AMST-4188A.104.222,7715214557287,2.0,,2.0,248.83,0.008,,ACTIVE,sim
AMST-4188A.105.020,7715214655591,31.2,22.8,31.2,161.44,0.1933,LWH,ACTIVE,nao
AMST-4188A.154.020,7715214753895,31.2,22.8,31.2,214.71,0.1453,LWH,ACTIVE,nao
AMST-4188B.004.020,7715214852199,30.2,20.6,30.2,183.09,0.1649,LWH,ACTIVE,nao
AMST-4188B.104.020,7715214917735,30.2,20.6,30.2,183.09,0.1649,LWH,ACTIVE,nao
AMST-4189D.104.020,7715215016039,40.0,32.6,40.0,293.77,0.1362,LWH,ACTIVE,nao
AMST-4216.228.020,7715215048807,31.0,21.8,31.0,378.66,0.0819,LWH,ACTIVE,nao
AMST-4225A.004.020,7715215114343,35.4,24.8,35.4,207.23,0.1708,LWH,ACTIVE,nao
AMST-4225A.104.020,7715215179879,35.4,24.8,35.4,207.23,0.1708,LWH,ACTIVE,nao
AMST-4225A.105.020,7715215212647,34.6,24.8,34.6,234.69,0.1474,LWH,ACTIVE,nao
AMST-4270A.104.020,7715215278183,2.0,,2.0,228.85,0.0087,,ACTIVE,sim
AMST-4385A.104.020,7715215376487,40.0,26.7,40.0,218.87,0.1828,LWH,ACTIVE,nao
AMST-4385A.107.020,7715215409255,40.0,27.1,40.0,347.04,0.1153,LWH,ACTIVE,nao
AMST-4385A.108.020,7715215474791,40.0,27.1,40.0,354.52,0.1128,LWH,ACTIVE,nao
AMST-4385A.137.020,7715215540327,40.0,,40.0,327.06,0.1223,,ACTIVE,nao
AMST-4425A.104.020,7715215573095,40.0,21.0,40.0,113.18,0.3534,LWH,ACTIVE,nao
AMST-4425A.105.020,7715215671399,40.0,,40.0,113.18,0.3534,,ACTIVE,nao
AMST-4425A.154.020,7715215736935,40.0,,40.0,135.65,0.2949,,ACTIVE,nao
AMST-4519A.104.020,7715215868007,30.4,21.8,30.4,142.31,0.2136,LWH,ACTIVE,nao
AMST-5001G.055.020,7715215966311,3.23,4.9,4.86,49.94,0.0972,LWH,ACTIVE,nao
AMST-5025B.65G.020,7715216031847,4.25,3.7,4.25,118.17,0.036,LWH,ACTIVE,nao
AMST-5257A.65MT.020,7715216130151,3.75,6.2,6.22,70.74,0.0879,LWH,ACTIVE,nao
