sku,vid,pid,status,preco,peso_efetivo_lb,lam,perfil_atual,destino,titulo
CTRO-ISVL062,44350395383911,7715284123751,ACTIVE,144.36,9.95,0.06894,General profile,Standard,"Centrotherm 6"" x 24"" - PolyPro Single Wall Vent Pipe"
DAYT-DW1023322-4,44350519836775,7715347136615,ACTIVE,243.01,12.4,0.05103,General profile,Standard,"Dayton DW10233224 Stainless Steel 33"" x 22"" x 6-9/16"" 4-Hole Equal Double Bowl D"
DEAR-ADA101,44350524063847,7715351330919,ACTIVE,53.05,3.08,0.05812,General profile,Standard,Dearborn® ADA101 Safety Series Brass & Plastic P-Trap Full Cover Kit - Straight 
FLUI-12IM120,44350698422375,7715414016103,ACTIVE,32.58,4.6,0.14118,General profile,Standard,"Fluidmaster 12IM120 1/4"" x 1/4"" x 120"" COMP x COMP - Ice Maker Supply - No-Burst"
FLUI-12IM60,44350698455143,7715414048871,ACTIVE,18.27,4.85,0.26537,General profile,Standard,"Fluidmaster 12IM60 1/4"" x 1/4"" x 60"" COMP x COMP - Ice Maker Supply - No-Burst"
FLUI-12IM72,44350698487911,7715414081639,ACTIVE,21.93,5.84,0.26643,General profile,Standard,"Fluidmaster 12IM72 1/4"" x 1/4"" x 72"" COMP x COMP - Ice Maker Supply - No-Burst"
FLUI-12IM84,44350698520679,7715414114407,ACTIVE,26.04,5.84,0.22438,General profile,Standard,"Fluidmaster 12IM84 1/4"" x 1/4"" x 84"" COMP x COMP - Ice Maker Supply - No-Burst"
FLUI-12IM96,44350698553447,7715414147175,ACTIVE,28.95,5.84,0.20183,General profile,Standard,"Fluidmaster 12IM96 1/4"" x 1/4"" x 96"" COMP x COMP - Ice Maker Supply - No-Burst"
FLUI-640,44350698979431,7715414540391,ACTIVE,11.5,0.65,0.05632,General profile,Standard,"Fluidmaster 640 Perfect Fit Toilet Tank Lever, White"
FLUI-642,44350699044967,7715414605927,ACTIVE,13.75,0.65,0.0471,General profile,Standard,"Fluidmaster 642 Perfect Fit Toilet Tank Lever, Brushed Nickel"
FRAN-PKG11031ONY,44350702387303,7715417751655,ACTIVE,919.25,38,0.04134,General profile,Standard,Franke Peak 32.0-in. x 18.8-in. Onyx Granite Undermount Single Bowl Kitchen Sink
FRAN-PKG160LD-ONY,44350702551143,7715417882727,ACTIVE,910.46,40,0.04393,General profile,Standard,Franke Peak 32.0-in. x 18.8-in. Onyx Granite Undermount Double Bowl Kitchen Sink
GERB-12-504,44350709596263,7715420864615,ACTIVE,118.12,33,0.27938,General profile,Standard,"Gerber G0012504 Maxwell Petite Ped Top 20.5""x17.75"" 4""CC White"
GERB-12-512,44350709661799,7715420930151,ACTIVE,280.32,53,0.18907,General profile,Standard,"Gerber G0012512 Burr Ridge 24"" Ped Top Single Hole White"
GERB-12-514,44350709727335,7715420962919,ACTIVE,148.12,40,0.27005,General profile,Standard,"Gerber G0012514 Maxwell Ped Top 25.2""X20.5"" 4""CC White"
GERB-12-518,44350709760103,7715420995687,ACTIVE,148.12,40,0.27005,General profile,Standard,"Gerber G0012518 Maxwell Ped Top 25.2""X20.5"" 8""CC White"
GERB-12-555,44350709792871,7715421028455,ACTIVE,320.62,45,0.14035,General profile,Standard,"Gerber G0012555 Logan Square Petite Ped Top 24.25:x20.13"" 4""CC White"
GERB-12-559,44350709825639,7715421061223,ACTIVE,320.62,45,0.14035,General profile,Standard,"Gerber G0012559 Logan Square Petite Ped Top 24.25""x20.13"" 8""CC White"
GERB-29-842,44350711398503,7715422273639,ACTIVE,58.12,26,0.44735,General profile,Standard,Gerber G0029842 Maxwell Pedestal White
