ven,lb,skus,tamanhos,free,preco_max,valor_free,exemplos
Grohe,0.52,17,4,16,378.9,2116.88,GROH-47.220000 | GROH-47.853000 | GROH-47.111000 | GROH-47.050000
Legend Valve,0.29,17,11,16,141.18,924.62,BRPN-300-6 | BRPN-400-CLS | BRPN-200-10 | BRPN-300-3
Viega,0.4,16,5,16,114.12,755.44,VEGA-26075 | VEGA-26070 | VEGA-15588 | VEGA-26065
Mueller Streamline,0.23,18,5,16,50.66,449.52,COPF-125.100-90EL-C | CPPF-100-FTGFA | CPPF-125.100-CPLG | COPF-DWV-150-FTA-C
Resideo,7.0,75,22,15,2413.01,7578.77,HONE-DR90A3000/U | HONE-F300E1001/U | HONE-HM750APCB/U | HONE-HZ432/U
Mission Rubber Company,2.15,50,8,15,261.84,1953.73,MISS-MR06-64-ARC | MISS-MR56-86-ARC | MISS-MR06-88-ARC-WD | MISS-MR02-64-ARC-WD
Dahl Valve,0.3,15,4,15,81.64,613.18,DAHL-E53-4001 | DAHL-E33-5001 | DAHL-E33-4000 | DAHL-E33-4001
Legend Valve,0.11,15,5,15,54.68,338.12,LEGE-302-438 | LEGE-302-448 | LEGE-302-437 | LEGE-302-447
Mueller Streamline,0.21,21,7,15,39.53,306.47,COPF-050-S90FA-LF | COPF-050-HE90FA-LF | COPF-100-FTGFA-C | COPF-100.075-MA-C
Sioux Chief,0.38,20,6,14,431.26,1710.49,SIOU-834-6DIR | SIOU-834-3DNR | SIOU-834-63DNR | SIOU-851-36T
Legend Valve,0.35,15,10,14,88.32,608.34,SSTN-200-10 | SSTN-150-12 | SSTN-200-8 | SSTN-250-4
Mueller Streamline,0.22,19,6,14,39.77,362.63,CFCB-100.050.075-TEE | CFCB-100.075.075-TEE | COPF-DWV-300-CPL-C | COPF-100.050.075-TEE-C
Pasco,0.05,32,9,14,11.97,59.05,PASC-2091 | PASC-2893 | PASC-1240 | PASC-1349-C
Watts,2.32,14,7,13,1618.83,6783.01,WATT-0556008 | WATT-0154820 | WATT-0556016 | WATT-0556015
Resideo,2.0,14,8,13,377.56,2403.45,HONE-SV9501M2528/U | HONE-ARD18TZ/U | HONE-VR8345M4302/U | HONE-VR8304M4507/U
Sioux Chief,1.98,17,7,13,312.69,1688.64,SIOU-860-RGS | SIOU-822-2DSQ | SIOU-832-4DHNQ | SIOU-833-235DF
Legend Valve,0.2,16,8,13,78.25,289.61,LEGE-202-418 | LEGE-202-417 | LEGE-202-415 | SSTF-150.125-BSH
Viega,0.06,15,4,13,20.34,106.51,VEGA-65104 | VEGA-46002 | VEGA-77712 | VEGA-49333
Resideo,2.5,13,5,12,357.7,2483.34,HONE-PV150P/U | HONE-PV125P/U | HONE-PV100P/U | HONE-AM101-UP-1LF/U
Webstone,0.88,12,5,12,249.44,1677.87,WEBS-H-81415HVKIT | WEBS-H-81407WHV | WEBS-H-81414HVKIT | WEBS-H-81415WHV
Legend Valve,1.33,22,5,12,179.9,1106.95,LEGE-105-008NL | LEGE-105-007NL | LEGE-105-458NL | LEGE-105-108NL
Mueller Streamline,0.37,20,8,12,94.84,553.31,COPF-DWV-150-FTGFA-C | COPF-DWV-300.200-CPL-C | COPF-DWV-300.200-FTR-C | CPPF-150.100-CPLG
Milwaukee Tools,0.41,14,6,12,129.6,462.32,MILW-49-16-2404 | MILW-48-39-0611 | MILW-48-39-0630 | MILW-48-39-0631
Mueller Streamline,0.18,16,8,12,37.79,274.36,CFCB-100.050.050-TEE | COPF-050-DEA-LF | CFCB-100.050-TEE | COPF-100.050.050-TEE-C
Mueller Streamline,0.13,13,6,12,58.3,238.56,COPF-075.050-FTGFA-LF | COPF-075.050-FTGFA-C | CFCB-100-ST45 | COPF-050-DE90-C
Viega,0.05,23,8,12,102.0,147.55,VEGA-15312 | VEGA-68431 | VEGA-68432 | VEGA-68430
Mueller Streamline,0.11,16,7,12,29.57,140.45,COPF-050.018.050-BBT-C | CPPF-100-CAP | CFCB-075.050.050-TEE | COPF-075.050-MA-C
Mueller Streamline,0.09,13,7,12,22.21,137.26,CPPF-050-FTGFA | CFCB-075-LT90 | COPF-075.050-FA-C | CFCB-100.050-FTR
Mueller Streamline,0.1,16,7,12,20.28,120.11,CPPF-050-FTGMA | CPPF-075-CAP | CFCB-100.050-CPL | CFCB-100.075-CPL
Legend Valve,0.15,12,7,12,12.33,104.42,SSTF-050-ST90 | SSTN-125-CLS | SSTF-075.050-CPL | SSTN-100-2
Charlotte Pipe,0.1,21,5,12,9.12,63.19,CPVC-100-ST45-V | CPVC-200-TRANS | CPVC-150.075-BSH-V | CPVC-150.100-BSH-V
Milwaukee Valve,1.8,12,7,11,1646.67,6462.46,MLWV-CL223E-D4 | MLWV-CL223E-D3 | MLWV-CL223E-D212 | MLWV-590T-200
Resideo,2.4,13,5,11,322.55,2032.52,HONE-DS06-103-DUS-LF/U | HONE-DS06-103-DUT-LF/U | HONE-SB06T-11/2 | HONE-DS06-102-DUP-LF/U
Viega,0.34,11,7,11,95.76,555.76,VEGA-90320 | VEGA-90295 | VEGA-90315 | VEGA-90310
Mueller Streamline,0.15,14,5,11,67.5,253.57,COPF-DWV-150-22EL-C | COPF-038-UNI-C | CPPF-075-FTGFA | CPPF-125-CAP
Sioux Chief,0.26,14,11,11,48.36,234.5,SIOU-630WG4612E | SIOU-630WG4612 | SIOU-630WG348 | SIOU-630WG2138
Legend Valve,0.4,13,8,11,26.55,227.23,SSTF-150.050-BSH | SSTF-150.075-BSH | SSTN-200-CLS | SSTF-125.050-BSH
Mueller Streamline,0.07,11,6,11,17.45,83.17,COPF-050-FTGMA-C | COPF-DWV-300-TCAP-C | COPF-025.050-MA-C | CPPF-050-CPLG/LS
Legend Valve,0.1,11,5,11,11.75,78.84,SSTF-100.075-BSH | SSTF-050-45EL | SSTF-050-90EL | SSTN-100-CLS
Charlotte Pipe,0.09,17,5,11,11.46,64.31,CPVC-125-MA-V | CPVC-100.075-TEE-V | ABSF-150-ST22-A | CPVC-125-CAP-V
Charlotte Pipe,0.06,17,5,11,9.03,41.49,ABSF-150-RPC-A | CPVC-100-MA-V | CPVC-150.125-BSH-V | CPVC-100-CAP-V
Watts,11.1,15,5,10,1410.84,7223.32,WATT-88004113 | WATT-0065378 | WATT-0061657 | WATT-0122588
NAVAC,5.5,12,4,10,1859.64,6460.46,NAVA-NRDDF | NAVA-NP4DLM | NAVA-NP7DP2 | NAVA-NTE11H
Geberit,1.45,10,7,10,313.5,1846.5,GEBE-151.551.HM.1 | GEBE-151.551.ID.1 | GEBE-151.551.21.1 | GEBE-151.510.00.1
A.Y. McDonald Industries,1.0,12,5,10,339.44,1584.99,AMAC-125-74758-11 | AMAC-100-74758-11 | AMAC-125-74753-11 | AMAC-150-74753-22
Mueller Streamline,0.9,17,7,10,209.16,930.05,CRBN-125-UNI | CRBN-200-TEE | CPPF-250.200-FTR | CRBN-200-CPL/WS
Sioux Chief,0.9,12,5,10,171.99,853.77,SIOU-687-4RWW | SIOU-687-3RWW | SIOU-687-3WH | SIOU-687-4WD
"PRIER Products, Inc.",1.51,10,7,10,86.32,748.76,PRIE-P-164T10 | PRIE-P-164T08 | PRIE-P-164X12 | PRIE-P-164T06
Mueller Streamline,0.51,14,9,10,292.44,629.85,GAPN-300-12 | COPF-150-FTGMA-C | CPPF-100.075.050-TEE | GAPN-400-4
Viega,0.51,11,4,10,94.61,476.86,VEGA-22258 | VEGA-78192 | VEGA-25041 | VEGA-25040
Mueller Streamline,0.26,13,5,10,67.19,329.14,COPF-050-UMA-LF | CFCB-125.050-TEE | COPF-DWV-150-MTA-C | COPF-125.050-TEE-C
Legend Valve,0.5,12,8,10,42.97,290.45,SSTF-125-ST90 | SSTF-200.150-BSH | SSTF-200-CAP | SSTN-075-10
Dearborn,0.16,14,6,10,50.03,257.27,DEAR-791B-1 | DEAR-793BD-1 | DEAR-791BD-1 | DEAR-793A-17-1
BrassCraft,0.3,10,4,10,43.55,242.09,BRAS-G2CR09X-C | BRAS-R1701LRX-C1 | BRAS-KTPR19X-C | BRAS-KTR07X-C
Mueller Streamline,0.17,10,5,10,33.87,181.16,CPPF-075-FTGMA | CFCB-100-MA | COPF-DWV-200.150-CPL-C | CFCB-125.050-FTR
Legend Valve,0.25,12,7,10,22.7,153.52,SSTF-050-UNI | SSTF-125.075-BSH | SSTF-125.100-BSH | SSTN-150-CLS
Charlotte Pipe,0.11,13,6,10,36.05,151.05,CPVC-200.075-TEE-V | CPVC-050-DE90-SXF-LF | CPVC-150.075-TEE-V | CORZ-050-UNI-SCH80
nVent Caddy,0.12,15,13,10,85.92,145.46,HGRI-P110000EG | HGRI-L220000EG | HGRI-BC17A000-EG | HGRI-L460450EG
Mueller Streamline,0.08,13,7,10,27.06,82.73,COPF-050-CPL/WD-C | COPF-038.050-FA-C | CFCB-050-FA | COPF-075-ST45-C
Elkay,1.0,9,15,9,1869.15,7942.64,ELKA-LFGR33221 | ELKA-LRAD-3722-65-4 | ELKA-LRAD-3122-65-3 | ELKA-DLR-2522-10-PD-1
Watts,3.0,12,6,9,1268.54,4143.28,WATT-T063235 | WATT-0061667 | WATT-0298500 | WATT-0063231
Resideo,3.0,19,8,9,448.54,2289.85,HONE-L8148E1265/U | HONE-L8148A1017/U | HONE-ZD12X20TZ/U | HONE-ZD12X12TZ/U
"Woodford Manufacturing Company, LLC",1.51,9,7,9,542.73,1846.49,WOOD-68C-4 | WOOD-67P-12 | WOOD-65C-6 | WOOD-25P-10
Rheem Manufacturing,0.5,9,5,9,433.22,1390.7,RHEE-AP17920 | RHEE-RTG20213A | RHEE-RTG20285 | RHEE-RTG20227
Taco Comfort Solutions,0.88,9,5,9,232.94,1048.79,TACO-265-1 | TACO-SFL-125S | TACO-SFL-100S | TACO-SFL-075S
Sioux Chief,0.88,16,5,9,104.02,608.38,SIOU-821-2LRBQ | SIOU-821-2SMQPK2 | SIOU-821-2AQRB | SIOU-821-2LKQ
Legend Valve,1.02,16,5,9,71.97,560.44,LEGE-108-158A | LEGE-108-029NL | LEGE-108-023NL | LEGE-108-028NL
Cherne,0.5,10,5,9,180.25,493.64,CHER-271758 | CHER-273898 | CHER-271508 | CHER-269948
Dearborn,0.96,29,14,9,80.07,476.61,DEAR-1032AD-1 | DEAR-100-17-1 | DEAR-100-20-1 | DEAR-760W-1
Viega,0.25,9,4,9,69.53,321.96,VEGA-15593 | VEGA-78157 | VEGA-78187 | VEGA-14543
Milwaukee Tools,0.25,11,6,9,56.97,276.43,MILW-49-56-9240 | MILW-48-73-1063 | MILW-48-00-5262 | MILW-48-73-1121
Charlotte Pipe,0.15,29,7,9,48.82,200.86,PVCF-600-CAP-P | PVCF-400-TEE-P | PVCF-400-45EL-P | PVCF-400-CAP-P
Viega,0.15,10,7,9,48.91,172.58,VEGA-15603 | VEGA-22333 | VEGA-78177 | VEGA-19013
Viega,0.26,9,6,9,32.1,158.13,VEGA-25736 | VEGA-50263 | VEGA-96161 | VEGA-92441
Mueller Streamline,0.04,9,5,9,15.48,45.85,COPF-050.038-90EL-C | COPF-038-MA-C | CFCB-075-CPL/LS | CFCB-075-CPL/DS
Viega,0.03,11,4,9,18.02,41.99,VEGA-49408 | VEGA-15054 | VEGA-49343 | VEGA-49220
