sku,ven,price,lb_loja,lb_fornecedor,cube_in3,lb_dimensional,lb_efetivo,lambda,excesso_x,title
GERB-G00GS507,Gerber,68.04,1.0,4.8,,,4.8,0.0705,2.1,Gerber G00GS507 Treysta Tub & Shower Valve- Horizontal Inputs WITHOUT Stops- Cold Expansio
BURN-202EN-G0,US Boiler,2888.1,2.19,202,,,202,0.0699,2.1,"US Boiler (Burnham) Series 2e - 38,000 BTU Input - Cast Iron Sectional Chimney Vented Boil"
MILW-49-22-4175,Milwaukee Tools,238.44,3.0,15.5,,,15.5,0.065,1.9,Milwaukee Tools 49-22-4175 15 Piece HOLE DOZER™ General-Purpose Hole Saw Kit
TOTO-LT931-01,Toto,553.02,1.0,25,4920.825,35.4,35.4,0.064,1.9,"TOTO® Lloyd® Rectangular Undermount Bathroom Sink, Cotton White - LT931#01"
MILW-48-22-8410,Milwaukee Tools,182.9,5.5,10.9,,,10.9,0.0596,1.8,Milwaukee Tools 48-22-8410 PACKOUT™ Dolly
ELKA-EZSTL8LC,Elkay,1706.68,2.0,83,13811.67,99.36,99.36,0.0582,1.7,Elkay EZSTL8LC Versatile Wall Mount Bi-level ADA Cooler Non-filtered Refrigerated Light Gr
MILW-48-22-8315,Milwaukee Tools,194.79,5.5,11,0.974,0.01,11,0.0565,1.7,"Milwaukee Tools 48-22-8315 15"" PACKOUT™ Tote"
MILW-48-22-8428,Milwaukee Tools,426.36,5.5,24,,,24,0.0563,1.7,Milwaukee Tools 48-22-8428 PACKOUT™ Rolling Tool Chest
ZURN-EZ1-PV2,Zurn,76.48,1.98,4.38,,,4.38,0.0573,1.7,"Zurn EZ1-PV2 EZ1 PVC Floor Drain, 5"" Round Nickel Bronze Strainer, with 2"" x 3"" Bottom Out"
TOTO-LT191G-01,Toto,450.84,13.1,24.8,2467.325,17.75,24.8,0.055,1.6,"TOTO® Rectangular Undermount Bathroom Sink with CEFIONTECT, Cotton White - LT191G#01"
WATT-0856810,Watts,303.64,3.0,16,30.4688,0.22,16,0.0527,1.6,"Watts 0856810 3/4"" Lead Free Flow Measurement Valve, Solder Connections"
DAYT-DW1023322-4,Dayton,243.01,1.0,12.4,,,12.4,0.051,1.5,"Dayton DW10233224 Stainless Steel 33"" x 22"" x 6-9/16"" 4-Hole Equal Double Bowl Drop-in Sin"
DURA-0305430000,Duravit,438.75,1.0,16.3142,3177.4102,22.86,22.86,0.0521,1.5,"Duravit 0305430000 Starck 3 18 1/4"" Rectangular Undermount Sink in White with Overflow"
