sku,vendor,ptype,price,lb,usd_lb,teto_lb,handle,variant_id,product_id
GVLF-479-100.125-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,718.69,0.34,2113.8,24.22,1x1-1-4-female-adapter-316-stainless-steel-press,44353404338279,7716759601255
GVLF-479-100.150-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,718.69,0.34,2113.8,24.22,1x1-1-2-female-adapter-316-stainless-steel-press,44353404371047,7716759634023
GVLF-473-100.050-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,714.31,0.34,2100.9,24.07,1x1-2-tee-316-stainless-steel-press,44353402241127,7716757569639
TEKM-087,tekmar Control Systems,Sensors,477.0,0.2,2385.0,16.07,tekmar-outdoor-sensor-087,44353382383719,7716737810535
WOOD-67BX,"Woodford Manufacturing Company, LLC",Hydrant Repair Parts & Accessories,393.28,0.15,2621.9,13.25,65-67-box-assembly-bubble-door,44353496809575,7716842766439
PRIE-C-634RB1,"PRIER Products, Inc.",Hydrant Repair Parts & Accessories,325.29,0.15,2168.6,10.96,prier-brass-heavy-round-commercial-wall-hydrant-box,44351284019303,7715720396903
MILW-48-73-8430C,Milwaukee Tools,First Aid Kits,271.05,0.06,4517.5,9.13,193-piece-class-b-type-iii-packout-first-aid-kit,44350935629927,7715553149031
MPEX-4822020,MrPEX Systems,F1960 Expansion Fittings,258.33,0.05,5166.6,8.71,2-pex-male-adapter-expansion-f1960-x-mip-brass-mpex-4822020,44351039242343,7715604824167
DXVF-7381345-200.2950A,DXV,Faucet & Tap Parts & Accessories,227.85,0.1,2278.5,7.68,left-hand-trip-lever-in-brushed-nickel-dxvf-7381345-200-2950a,44350685773927,7715404611687
MPEX-4832020,MrPEX Systems,F1960 Expansion Fittings,227.52,0.05,4550.4,7.67,2-pex-female-adapter-expansion-f1960-x-fip-brass-mpex-4832020,44351039930471,7715605217383
HLNK-EX27554NL,HeatLink,F1960 Expansion Fittings,192.56,0.05,3851.2,6.49,2-pex-male-adapter-expansion-f1960-x-mip-brass,44350780047463,7715465461863
SIOU-555-2BKT,Sioux Chief,Nail On's,189.18,0.05,3783.6,6.38,1-2-tube-talon-drive-hook-with-nail-2200,44351380127847,7715775119463
SIOU-555-3BKT,Sioux Chief,Nail On's,175.5,0.05,3510.0,5.91,3-4-tube-talon-drive-hook-with-nail-1100,44351380226151,7715775217767
