variant_id,product_id,sku,titulo,peso_antigo_lb,peso_novo_lb
44350256414823,7715217080423,AMST-6581.001.020,American Standard 6581001.020 Maybrook® 0.125 - 1.0 gpf (0.47 - 3.8 Lpf) Top Spud Urinal White,1.0,35.0
44350256480359,7715217145959,AMST-6590.001.020,American Standard 6590001.020 Washbrook® 0.125 - 1.0 gpf (0.47 - 3.8 Lpf) Top Spud Urinal White,1.0,71.0
44350256808039,7715217277031,AMST-6601.012.020,American Standard 6601012.020 Lynbrook® 1.0 gpf/3.8 Lpf Top Spud Blowout Urinal White,1.0,75.0
44350257266791,7715217342567,AMST-7695.008.020,American Standard 7695008.020 Akron® Wall-Hung Cast Iron Service Sink With 8-inch Faucet Holes and Rim Guard White,1.0,109.0
44350257627239,7715217408103,AMST-7741.000.020,American Standard 7741000.020 Florwell® Floor-Mount Cast Iron Service Sink White,50.0,183.0
44350259658855,7715218161767,AMST-7745.811,American Standard 7745811 Removable Vinyl Rim Guard for Florwell Service Sink,50.0,5.0
44350261592167,7715218915431,AMST-9512.999.020,American Standard 9512999.020 Wall-Hung Clinic Service Sink White,1.0,73.6
44350261854311,7715219046503,AMST-9960.403.020,American Standard 9960403.020 Mezzo® Semi-Countertop Sink With 4-Inch Centerset White,1.0,45.0
44350262018151,7715219144807,ASFC-1340.225.002,American Standard 1340225.002 Metering 4-Inch Centerset 2-Handle Faucet 1.0 gpm/3.8 Lpf Chrome,5.0,4.48
44350262837351,7715219472487,ASFC-5500.170.002,American Standard 5500170.002 Monterrey® 4-Inch Centerset Cast Faucet With Wrist Blade Handles 1.5 gpm/5.7 Lpm Chrome,5.0,3.3
44350263197799,7715219603559,ASFC-6047.121.002,"American Standard 6047121.002 Ultima Manual Toilet Flush Valve, Piston-Type, 1.28 gpf/4.8 Lpf Chrome",40.0,5.86
44350263525479,7715219800167,ASFC-605XTMV1070,"American Standard 605XTMV1070 Selectronic Thermostatic Mixing Valve, ASSE 1070 Certified",5.0,2.54
44350263885927,7715219898471,ASFC-6063.051.002,"American Standard 6063051.002 Ultima Selectronic Touchless Urinal Flush Valve, Piston-Type, Battery, 0.5 gpf/1.9 Lpf Chrome",40.0,8.17
44350264016999,7715220029543,ASFC-6065.161.002,"American Standard 6065161.002 Ultima Selectronic Touchless Toilet Flush Valve, Piston-Type, Battery, 1.6 gpf/6.0 Lpf Chrome",40.0,8.3
44350265196647,7715220750439,ASFC-7075.202.002,American Standard 7075202.002 Colony® PRO 4-Inch Centerset 2-Handle Bathroom Faucet 1.2 gpm/4.5 Lpm With Lever Handles Chrome,5.0,3.773
44350265852007,7715221143655,ASFC-7500.180.002,American Standard 7500180.002 Monterrey® 4-Inch Centerset Gooseneck Faucet With Wrist Blade Handles 1.5 gpm/5.7 Lpm Laminar Flow in Spout Base Chrome,5.0,3.67
44350266114151,7715221209191,ASFC-7721.038.002,American Standard 7721038.002 Grid Strainer Drain for Sinks Chrome,0.89,3.13
44350266179687,7715221274727,ASFC-8354.112.002,American Standard 8354112.002 Top Brace Wall-Mount Service Sink Faucet With 6-Inch Vacuum Breaker Spout and Offset Shanks Chrome,22.0,6.28
44350266277991,7715221340263,ASFC-8354.112.004,American Standard 8354112.004 Top Brace Wall-Mount Service Sink Faucet With 6-Inch Vacuum Breaker Spout and Offset Shanks Rough Chrome,22.0,6.72
44350266343527,7715221405799,ASFC-8888.026.002,American Standard 8888026.002 Slip-On Diverter Tub Spout Chrome,0.6,0.92
44350266802279,7715221667943,ASFC-RU101SS,American Standard RU101SS Flash® Shower Rough-In Valve With Universal Inlets/Outlets With Screwdriver Stops,0.9,2.01
44350270242919,7715223142503,ASRP-730292-0070A,American Standard 730292-0070A Cadet Toilet Tank to Bowl Coupling Kit,0.63,1.0
44350271520871,7715223797863,ASRP-7381193-200.0070A,American Standard 7381193-200.0070A 3 inch Toilet Tank Flapper Valve Set,0.63,0.15
44350274732135,7715225632871,ASRP-M950070-0070A,American Standard M950070-0070A Transfer Valve -Colony-3375/3278,0.52,0.178
44350275027047,7715225927783,AMTR-389710,Amtrol 389710 4.4 Gallon EX-30 Extrol Expansion Tank,8.6,9.0
44350275125351,7715226026087,AMTR-390570,Amtrol 390570 2 Gallon ST-5 Therm-X-Trol Expansion Tank,30.0,5.0
44350275223655,7715226124391,AMTR-390748,Amtrol 390748 4.4 Gallon ST-12 Therm-X-Trol Expansion Tank,30.0,9.0
44350321754215,7715242344551,ARRO-PK1290,"Arrowhead Brass PK1290 Green Oval Handle (Aluminum, 12-pt) & Self-Tapping Stainless Steel Screw",0.06,0.056
