sku,vendor,ptype,price,lb,usd_lb,teto_lb,handle,variant_id,product_id
GVLF-A7061SS-250.200-304,Gruvlok,Gruvlok Fittings,1864.93,2.65,703.7,62.85,2-1-2-x-2-tee-304-stainless-steel-gr-x-gr-x-gr,44350751932519,7715450454119
MLWV-2885-M-400,Milwaukee Valve,Gate Valves,1861.05,1.44,1292.4,62.72,4-flange-x-flange-cast-iron-gate-valve-125-swp-200-wog-os-y-stem-bronze-seat-solid-wedge-disc,44350949458023,7715563044967
NAVA-NRDDF,NAVAC,Refrigeration Tools,1859.64,5.5,338.1,62.67,recovery-unit-for-flammable-refrigerants,44351182602343,7715666985063
RZNR-UDXC-60,Reznor,Unit Heaters,1856.25,2.19,847.6,62.56,60-000-btu-udxc-universal-gas-fired-unit-heater-natural-gas-propane-conversion-kit-available,44351339266151,7715752280167
BOSC-BMS500-AAU036-1AHWXD,Bosch,Wall Mount Head Units,1849.23,2.0,924.6,62.32,3-ton-ductless-mini-split-indoor-wall-mounted-unit-36-000-btu-r454b-208-230v,44350355996775,7715252764775
GVLF-618-400.075,Gruvlok,Gruvlok Copper Fittings,1816.62,5.2,349.3,61.22,4-x-3-4-tee-reducing-copper-gr-x-gr-x-gr,44350733746279,7715439247463
GVLF-619-400,Gruvlok,Gruvlok Copper Fittings,1812.95,9.0,201.4,61.1,4-tee-copper-gr-x-gr-x-gr,44350734106727,7715439575143
GVLF-469-200-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1812.87,0.34,5332.0,61.09,2-ball-valve-316-stainless-steel-press,44353401880679,7716757209191
GVLF-A7060SS-400-304,Gruvlok,Gruvlok Fittings,1797.26,8.6,209.0,60.57,4-tee-304-stainless-steel-gr-x-gr-x-gr,44350751866983,7715450388583
GVLF-A7072SS-600.300-304,Gruvlok,Gruvlok Fittings,1797.26,3.75,479.3,60.57,6-x-3-concentric-reducer-304-stainless-steel-gr-x-gr,44350752948327,7715451306087
GVLF-A7074SS-600-304,Gruvlok,Gruvlok Fittings,1792.15,3.09,580.0,60.4,6-cap-304-stainless-steel-gr,44350753210471,7715451535463
GVLF-A7064SS-250.200-TEE-1004,Gruvlok,Gruvlok Fittings,1778.95,0.52,3421.1,59.95,2-1-2-x-2-tee-304-stainless-steel-gr-x-gr-x-mpt,44350752489575,7715450880103
RZNR-UDXC-45,Reznor,Unit Heaters,1763.84,2.19,805.4,59.44,45-000-btu-udxc-universal-gas-fired-unit-heater-natural-gas-propane-conversion-kit-available,44351339233383,7715752247399
GVLF-A7072SS-250.150-304,Gruvlok,Gruvlok Fittings,1760.24,1.1,1600.2,59.32,2-1-2-x-1-1-2-concentric-reducer-304-stainless-steel-gr-x-gr,44350752587879,7715450978407
MILW-49-16-2652SA,Milwaukee Tools,Press Tools and Kits,1755.75,6.31,278.2,59.17,1-ips-asp-press-jaw-for-m18-force-logic-long-throw-press-tool,44350938218599,7715555278951
GVLF-7073-300.150-PNTD,Gruvlok,Gruvlok Fittings,1753.17,4.5,389.6,59.08,3-x-1-1-2-eccentric-reducer-painted-gr-x-gr,44350744264807,7715447111783
BOSC-BMS500-AAU030-1AHWXD,Bosch,Wall Mount Head Units,1748.84,2.0,874.4,58.94,2-1-2-ton-ductless-mini-split-indoor-wall-mounted-unit-30-000-btu-r454b-208-230v,44350355964007,7715252732007
BURN-111419-01,US Boiler,US Boiler Parts,1737.74,8.0,217.2,58.56,service-kit-alta,44353435730023,7716785782887
SLOA-3250315,Sloan,Flush Valve Parts & Accessories,1737.2,3.0,579.1,58.54,g2-8111-1-6-gr,44351417876583,7715792945255
DURA-0329100000,Duravit,Wall-Mount Sinks,1735.5,1.0,1735.5,58.49,duravit-vero-41-3-8-rectangular-wall-mounted-sink-in-white-with-single-faucet-hole-and-with-overflow,44350672404583,7715400745063
GVLF-A7788SS-300-316,Gruvlok,Gruvlok Fittings,1723.1,0.52,3313.7,58.07,3-flange-adapter-316-stainless-steel-gr-x-flange,44350753341543,7715451633767
BOSC-BMS500-AAS012-0CSXRD,Bosch,Outdoor Units (Compressor/Condenser),1716.3,7.0,245.2,57.84,1-ton-ductless-mini-split-single-zone-outdoor-heat-pump-r454b-12-000-btu-r454b-115v,44350354653287,7715252273255
GVLF-485-150-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1710.33,0.34,5030.4,57.64,1-1-2-union-316-stainless-steel-press,44353404862567,7716760125543
SIOU-837-HSL,Sioux Chief,Carriers & Fixture Supports,1706.93,0.96,1778.1,57.52,closet-carrier-horizontal-4-no-hub-std,44351401951335,7715786227815
SIOU-837-HSR,Sioux Chief,Carriers & Fixture Supports,1706.93,0.96,1778.1,57.52,closet-carrier-horizontal-4-no-hub-std-siou-837-hsr,44351402475623,7715786293351
MLWV-2974-M-400,Milwaukee Valve,Check Valves,1699.68,1.33,1278.0,57.28,4-flange-x-flange-cast-iron-check-valve-125-swp-200-wog-horizontal-swing-bronze-seat-solid-wedge-disc,44350949720167,7715563241575
RZNR-UDXC-30,Reznor,Unit Heaters,1694.99,2.19,774.0,57.12,30-000-btu-udxc-universal-gas-fired-unit-heater-natural-gas-propane-conversion-kit-available,44351339200615,7715752214631
NAVI-30018664A,Navien,Navien Parts,1689.6,4.0,422.4,56.94,ncb-ncb-e-series-parts-kit,44351183683687,7715667509351
RZNR-UWS-22/31,Reznor,Hydronic Unit Heaters,1685.94,2.19,769.8,56.82,31-000-btu-uws-hot-water-suspended-unit-heater,44351339397223,7715752411239
GVLF-A7060SS-300-304,Gruvlok,Gruvlok Fittings,1678.45,5.75,291.9,56.56,3-tee-304-stainless-steel-gr-x-gr-x-gr,44350751768679,7715450323047
TEKM-557,tekmar Control Systems,Programmable Thermostats,1669.5,0.5,3339.0,56.26,tekmar-thermostat-2-heat-2-cool-557,44353383497831,7716738924647
ROHL-A3420SLMSTN-2,Rohl,Pull-Out Prep/Bar Faucets,1669.2,5.0,333.8,56.25,patrizia-pull-down-bar-food-prep-kitchen-faucet-in-satin-nickel,44351361286247,7715764306023
BOSC-BMS500-AAS012-1CSXRD,Bosch,Outdoor Units (Compressor/Condenser),1654.68,7.0,236.4,55.76,1-ton-ductless-mini-split-single-zone-outdoor-heat-pump-regular-performance-r454b-12-000-btu-r454b-208-230v,44350355210343,7715252371559
