sku,vendor,ptype,price,lb_loja,teto_lb,handle,variant_id,product_id
HONE-Q3451U1000/U,Resideo,Gas Ignition Components,120.63,0.2,4.07,multi-system-pilot-burner,44351321931879,7715741630567
MILW-48-00-5543,Milwaukee Tools,Sawzall & Hackzall Blades,119.44,0.35,4.03,12-6-tpi-wrecker-with-carbide-teeth-sawzall-blade-for-multi-material-5-pack,44350918459495,7715539517543
GROH-42.400000,Grohe,Faucet & Tap Parts & Accessories,118.8,2.0,4.0,mounting-set-in-grohe-chrome,44350728339559,7715434627175
MILW-0980-20,Milwaukee Tools,"Nozzles, Hoses & Accessories",117.15,0.73,3.95,m12-air-tip-utility-nozzle,44350912397415,7715533488231
PASC-4819,Pasco,Miscellaneous Tools,116.01,0.33,3.91,1-1-2-pipe-tap,44351272616039,7715715252327
SLOA-3873003,Sloan,Wall-Mount Sinks,114.82,1.0,3.87,wall-mounted-lavatory-ss3003-wall-hung-sink-w-bk-spl-4-cset-white-vitreous-china-wall-hung-lavatory-with-backsplash,44353367113831,7716723818599
GROH-27.217000,Grohe,Shower Arms,113.91,1.0,3.84,6-ceiling-shower-arm-in-grohe-chrome,44350723588199,7715430793319
MILW-49-10-9113,Milwaukee Tools,Oscillating Blades & Accessories,113.88,0.73,3.84,9-piece-universal-fit-oscillating-multi-tool-blade-set,44350936580199,7715554000999
MOEN-T5152EPSRN,Moen,Shower Trim Sets,113.07,1.0,3.81,moen-seena-spot-resist-brushed-nickel-posi-temp-r-shower-only,44350990155879,7715588243559
PASC-4654,Pasco,Miscellaneous Tools,112.74,0.33,3.8,2-pvc-pipe-cutter,44351271239783,7715714039911
GERB-D495958BB,Gerber,Soap or Lotion Dispensers,110.16,1.0,3.71,parma-deck-mount-soap-lotion-dispenser-brushed-bronze,44350717362279,7715425714279
DIAB-DHS4625CTR,Diablo,Hole Saw Bits & Accessories,109.89,0.73,3.7,diablo-4-5-8-demo-demon-carbide-teeth-rough-in-hole-saw,44350609195111,7715384524903
