Handle,SKU,Status,Preco_atual,Custo,MAP,Executive,Preco_novo,Subida_pct,Compare_at,UPC_loja,UPC_planilha,Flags
circulator-aquastat-range-100-240-f-adjustable-differential-spst-contacts-break-on-temperature-rise-remote-bulb-66-in-capillary-length,HONE-L4008B1013/U,ACTIVE,191.50,127.67,218.66,153.06,218.66,14.2,,085267049160,85267049160,
combination-intermittent-pilot-burner-and-ignitor-with-front-tip,HONE-Q345A1305/U,ACTIVE,49.39,32.93,56.40,39.48,56.40,14.2,,085267067850,85267067850,
combination-intermittent-pilot-burner-and-ignitor-with-left-tip,HONE-Q345A1313/U,ACTIVE,52.44,34.96,59.89,41.92,59.89,14.2,,085267067867,85267067867,
compression-fitting-for-1-4-in-od-pilot-tubing-0-78-in-total-overall-length,HONE-386449-1/U,ACTIVE,3.88,2.59,4.43,3.1,4.43,14.2,,085267796989,85267796989,
compression-fitting-for-1-4-in-od-pilot-tubing-1-15-in-total-overall-length,HONE-386449-4/U,ACTIVE,4.54,3.03,5.20,3.64,5.20,14.5,,085267027847,85267027847,
compression-fitting-for-1-8-in-od-pilot-tubing-0-78-in-total-overall-length,HONE-392449-1/U,ACTIVE,10.33,6.89,11.80,8.26,11.80,14.2,,085267029469,85267029469,
cool-only-thermostat-dual-scale-fahrenheit-and-celsius,HONE-T834L1004/U,ACTIVE,43.23,28.82,49.34,34.54,49.34,14.1,,085267271363,85267271363,
cover-plate-7-7-8-x-5-1-2-in-premier-white,HONE-32003796-001/U,ACTIVE,17.31,11.54,19.77,13.84,19.77,14.2,,,85267257909,
cover-plate-for-pro-th1000-and-pro-th2000-series-5-3-4-x-7-3-8-in-premier-white,HONE-50022893-001/U,ACTIVE,10.04,6.69,11.46,8.02,11.46,14.1,,,85267311540,
cover-plate-prestige,HONE-50028399-001/U,DRAFT,0.00,,19.80,13.86,19.80,inf,,085267701792,85267701792,PRECO_ZERO
coverplate-assembly-for-use-with-the-redlink-visionpro,HONE-THP2400A1019/U,ACTIVE,20.21,13.47,23.07,16.15,23.07,14.2,,085267957427,85267957427,
digital-bath-fan-control,HONE-HVC0001/U,ACTIVE,75.63,50.42,86.36,60.45,86.36,14.2,,085267077699,85267077699,
dual-direct-ignition-intermittent-pilot-gas-valve,HONE-VR8345H4555/U,ACTIVE,188.81,125.87,215.57,150.9,215.57,14.2,,085267797313,85267797313,
econoswitch-for-lights-and-motors-with-solar-timetable-white,HONE-PLS750C1000/U,ACTIVE,68.80,45.87,78.56,54.99,78.56,14.2,,085267838764,85267838764,
electromechanical-heating-relay-with-208-240v-transformer,HONE-RC840T-240/U,ACTIVE,90.00,60.0,102.76,71.93,102.76,14.2,,775264094620,775264094620,
electromechanical-relay-without-transformer,HONE-RC840/U,ACTIVE,60.02,40.01,68.51,47.96,68.51,14.1,,775264094613,775264094613,
electronic-air-cleaner-16x20,HONE-F300E1001/U,ACTIVE,814.32,542.88,929.74,650.82,929.74,14.2,,085267207874,85267207874,
electronic-oil-primary-with-15-seconds-lock-out,HONE-R7284B1024/U,ACTIVE,80.53,53.69,91.94,64.36,91.94,14.2,,085267336550,85267336550,
fan-and-limit-controller-11-5-in-insert,HONE-L4064B2210/U,ACTIVE,152.48,101.65,174.09,121.86,174.09,14.2,,085267000192,85267000192,
fan-and-limit-controller-8-in-insert,HONE-L4064B2236/U,ACTIVE,149.61,99.74,170.81,119.57,170.81,14.2,,,85267000215,
fast-fast-opening-smartvalve-intermittent-hot-surface-pilot,HONE-SV9501M8129/U,ACTIVE,377.56,251.71,431.09,301.76,431.09,14.2,,085267791083,85267791083,
flame-sensor-with-6-37-in-rod-height,HONE-Q354A1018/U,ACTIVE,58.72,39.15,67.04,46.93,67.04,14.2,,085267068932,85267068932,
foot-and-plate-mount-transformer,HONE-AT87A1106/U,ACTIVE,60.64,40.43,69.24,48.47,69.24,14.2,,,85267000093,
foot-mounted-120-v-ac-transformer-with-9-in-leadwires,HONE-AT20A1123/U,ACTIVE,43.29,28.86,49.43,34.6,49.43,14.2,,085267035613,85267035613,
foot-mounted-120-vac-transformer-with-9-in-lead-wires,HONE-AT40A1121/U,ACTIVE,45.80,30.53,52.29,36.6,52.29,14.2,,085267035736,85267035736,
foot-mounted-120-vac-transformer-with-9-in-leadwires-and-plastic-end-caps,HONE-AT140B1206/U,ACTIVE,21.83,14.55,24.91,17.44,24.91,14.1,,085267035170,85267035170,
foot-mounted-277-vac-transformer-with-9-in-leadwires-and-plastic-end-caps,HONE-AT150B1252/U,ACTIVE,44.10,29.4,50.34,35.24,50.34,14.1,,085267150255,85267150255,
foot-mounted-actuator,HONE-M847A1072/U,ACTIVE,146.56,97.71,167.33,117.13,167.33,14.2,,085267059138,85267059138,
fresh-air-ventilation-control,HONE-W8150A1001/U,ACTIVE,121.09,80.73,138.26,96.78,138.26,14.2,,085267256155,85267256155,
fresh-air-ventilation-system-with-truezone-damper,HONE-Y8150A1017/U,ACTIVE,255.85,170.57,292.11,204.48,292.11,14.2,,085267817998,85267817998,
general-purpose-relay-with-dpdt-switching,HONE-R8222N1011/U,ACTIVE,26.66,17.77,30.44,21.31,30.44,14.2,,085267079617,85267079617,
heat-conductive-grease-1-2-oz,HONE-120650/U,ACTIVE,21.79,14.53,24.89,17.42,24.89,14.2,,085267005319,85267005319,
heat-only-thermostat-45-95-f,HONE-T822K1000/U,ACTIVE,44.03,29.35,50.27,35.19,50.27,14.2,,085267271318,85267271318,
heat-only-thermostat-with-positive-off-switch-position,HONE-T812A1002/U,ACTIVE,20.70,13.8,23.64,16.55,23.64,14.2,,085267233736,85267233736,
high-capacity-thermostatic-radiator-actuator-16-ft,HONE-T104B1046,ACTIVE,153.51,102.34,175.27,122.69,175.27,14.2,,085267087650,85267087650,
high-capacity-thermostatic-radiator-actuator-40-mm-diameter,HONE-T104C1036,ACTIVE,180.00,120.0,205.50,143.85,205.50,14.2,,085267087667,85267087667,
high-capacity-thermostatic-radiator-actuator-integral-setpoint,HONE-T104F1512,ACTIVE,102.05,68.03,116.51,81.56,116.51,14.2,,085267087698,85267087698,
high-limit-manual-reset-aquastat-130f-270f-66-in-capillary-factory-stop-at-250f,HONE-L4008E1156/U,ACTIVE,218.02,145.35,248.93,174.25,248.93,14.2,,085267049191,85267049191,
honeywell-home-dehumidifier-filter-for-dr65-9-in-x-11-in-x-1-in,HONE-50049537-005/U,ACTIVE,19.11,12.74,21.83,15.28,21.83,14.2,,085267262965,85267262965,
horizontal-angle-pattern-1-2-in-high-capacity-valve,HONE-V110F1002/U,ACTIVE,82.70,55.13,94.43,66.1,94.43,14.2,,,85267103275,
horizontal-angle-pattern-3-4-in-high-capacity-valve,HONE-V110F1010/U,ACTIVE,118.80,79.2,135.63,94.94,135.63,14.2,,085267103282,85267103282,
horizontal-angle-pattern-3-4-in-radiator-valve,HONE-V2040ASL20,ACTIVE,50.53,33.69,57.70,40.39,57.70,14.2,,4029289039972,4029289039972,
humidifier-pad-w-agion-he265-he365,HONE-HC26E1004/U,ACTIVE,23.49,15.66,26.83,18.78,26.83,14.2,,085267208536,85267208536,
ignitor-sensor-assembly-used-with-y8610-kits,HONE-392431/U,ACTIVE,95.79,63.86,109.36,76.55,109.36,14.2,,085267796927,85267796927,
in-line-scale-sediment-humidifier-filter,HONE-50028044-001/U,ACTIVE,67.91,45.27,77.53,54.27,77.53,14.2,,085267334693,85267334693,
internal-transformer-switching-relay-with-low-voltage-contacts,HONE-RA832A1066/U,ACTIVE,115.47,76.98,131.84,92.29,131.84,14.2,,,85267990066,
l5-wifi-power-adapter-for-north-america,HONE-VB-SP02Y-003,ACTIVE,14.33,9.55,16.34,11.44,16.34,14.0,,,5059087018557,
l5-wifi-replacement-actuator,HONE-VB-SP02Y-002,ACTIVE,187.59,125.06,214.19,149.93,214.19,14.2,,194159008007,194159008007,
limit-control-fixed-200-f-range-3-in-insert-manual-reset,HONE-L4029E1029/U,ACTIVE,181.57,121.05,207.31,145.12,207.31,14.2,,085267049368,85267049368,
line-volt-5-2-programmable-thermostat-with-triac-for-electric-heat,HONE-TH105PLUS/U,ACTIVE,72.78,48.52,83.10,58.17,83.10,14.2,,775264105005,775264105005,
line-volt-7-day-programmable-thermostat-for-electric-heat-hone-th115-a-240d-b-u,HONE-TH115-A-240D-B/U,ACTIVE,104.59,69.73,119.41,83.59,119.41,14.2,,775264924804,775264924804,
line-volt-7-day-programmable-thermostat-for-electric-heat-hone-th115-a-240s-b-u,HONE-TH115-A-240S-B/U,ACTIVE,104.58,69.72,119.41,83.59,119.41,14.2,,775264924644,775264924644,
line-volt-electric-manual-thermostat-with-triac,HONE-TH450/U,ACTIVE,64.26,42.84,73.36,51.35,73.36,14.2,,,50085267344598,
line-volt-manual-thermostat-for-electric-heat,HONE-TH114-A-240D-B/U,ACTIVE,89.98,59.99,102.74,71.92,102.74,14.2,,775264924781,775264924781,
line-volt-manual-thermostat-with-triac-for-electric-heat,HONE-TH401/U,ACTIVE,42.80,28.53,48.86,34.2,48.86,14.2,,775264401015,775264401015,
low-limit-controller-with-66-inch-capillary-spdt-operating-range-100-240f-factory-stop-at-240f,HONE-L6008A1192/U,ACTIVE,280.69,187.13,320.47,224.33,320.47,14.2,,085267053877,85267053877,
low-volt-non-programmable-heat-only-thermostat,HONE-TH135-01-B/U,ACTIVE,68.52,45.68,78.23,54.76,78.23,14.2,,775264135286,775264135286,
maxivent-air-vent-for-heating-and-cooling-systems,HONE-FV147A/U,ACTIVE,8.43,5.62,9.63,6.74,9.63,14.2,,085267825986,85267825986,
multi-function-aquastat-controller-high-and-low-limit-spst-high-circulator,HONE-L4081B1047/U,ACTIVE,285.75,190.5,326.24,228.37,326.24,14.2,,085267053433,85267053433,
multi-system-pilot-burner-hone-q348u1009-u,HONE-Q348U1009/U,ACTIVE,75.34,50.23,86.03,60.22,86.03,14.2,,085267462174,85267462174,
